video_id,psnr_mean,ssim_mean
v_GolfSwing_g23_c04.avi,30.50580018045654,0.6715584211051464
v_LongJump_g12_c05.avi,34.25753877270548,0.9072555128733317
v_HandstandWalking_g07_c05.avi,34.31297510874257,0.9167553243325584
v_HammerThrow_g09_c05.avi,29.74672530830934,0.7370647148494303
v_Bowling_g25_c02.avi,32.518505082092254,0.8889881060385579
v_HorseRace_g18_c04.avi,32.77974455458444,0.8645463957333229
v_BoxingPunchingBag_g07_c05.avi,33.150008999623935,0.8977314733998952
v_BlowDryHair_g02_c05.avi,35.53157936137458,0.8987335623065128
v_HammerThrow_g10_c01.avi,33.690660928968576,0.890226236174977
v_YoYo_g13_c02.avi,32.808011156547735,0.8775175180328026
v_PommelHorse_g12_c04.avi,31.52508147738379,0.7983207626917463
v_JumpRope_g20_c04.avi,38.902994953509626,0.9709518544814166
v_HandStandPushups_g21_c05.avi,36.165325826293625,0.9206507347597934
v_CricketShot_g19_c02.avi,36.22265644295603,0.9113332043994556
v_RockClimbingIndoor_g09_c01.avi,33.31625475753482,0.8742775924149013
v_Diving_g08_c03.avi,31.776298538131897,0.829791987244087
v_IceDancing_g16_c06.avi,34.42197176580712,0.9279915941648247
v_Shotput_g14_c04.avi,30.79919007595951,0.803008713892528
v_BabyCrawling_g12_c06.avi,35.68876725269393,0.9138484169398585
v_BodyWeightSquats_g23_c03.avi,31.9156303307319,0.8204778808436982
v_Surfing_g01_c06.avi,33.48341328426242,0.8510628910691526
v_PlayingDaf_g07_c04.avi,33.566897752789686,0.9105791411246641
v_CricketShot_g13_c05.avi,31.068142737126852,0.7227341340434167
v_HorseRace_g04_c04.avi,36.28778359428885,0.9368816411053693
v_Rowing_g07_c05.avi,33.48001865376753,0.8529891667158708
v_BalanceBeam_g15_c02.avi,32.33789023525281,0.8152080066998799
v_RopeClimbing_g20_c04.avi,40.678986426826135,0.9645772086863487
v_Skijet_g01_c01.avi,33.675006160806795,0.8511257743436184
v_HighJump_g13_c02.avi,31.41914174096131,0.8458132989704609
v_Rafting_g06_c03.avi,30.875951035134523,0.7633444660063479
v_HorseRiding_g06_c07.avi,34.27126954159359,0.8740103589715781
v_Lunges_g16_c02.avi,33.12455796511837,0.8828948829017702
v_TableTennisShot_g01_c03.avi,34.36552030507225,0.9134629099141984
v_PlayingDaf_g19_c05.avi,36.28309839837129,0.9472742606712276
v_CricketShot_g24_c03.avi,30.338334728418367,0.6529803767800331
v_BenchPress_g07_c04.avi,32.100556102055606,0.8715657013304093
v_Surfing_g17_c05.avi,36.76483970809387,0.9386691491220899
v_Bowling_g14_c03.avi,33.57045623418478,0.9072126898654672
v_BodyWeightSquats_g12_c03.avi,31.13577636536393,0.7902680049339931
v_CricketBowling_g20_c05.avi,34.63583093076275,0.9049083892849908
v_CliffDiving_g24_c03.avi,32.42806050726729,0.8404697927217635
v_JumpRope_g20_c05.avi,38.85236286635461,0.9705525519159751
v_HorseRace_g17_c03.avi,31.957143598499783,0.8375512275995161
v_CricketBowling_g21_c03.avi,32.98898035121436,0.890148752097842
v_SoccerJuggling_g13_c05.avi,32.78897024009536,0.7606044609674671
v_SoccerPenalty_g24_c06.avi,33.45986537061348,0.8522249726538963
v_Biking_g05_c07.avi,32.389416823580504,0.8416300190819634
v_PushUps_g20_c01.avi,33.639823208561246,0.9032142783733125
v_ApplyEyeMakeup_g07_c01.avi,34.71410526895393,0.9107090781761121
v_BalanceBeam_g17_c06.avi,38.21347067879448,0.9702772183851762
v_ShavingBeard_g23_c07.avi,36.40585856930852,0.9367703170412116
v_Haircut_g06_c01.avi,33.88373339576179,0.8965230872950603
v_SoccerPenalty_g18_c02.avi,35.55178752597014,0.9379776236487598
v_HorseRace_g03_c04.avi,32.191721201666844,0.8263922471873808
v_CuttingInKitchen_g05_c06.avi,34.131122400525285,0.8851027298480907
v_SalsaSpin_g07_c02.avi,33.05732074029074,0.8639031537992512
v_ThrowDiscus_g13_c02.avi,34.35914175464731,0.9203220698568556
v_Basketball_g08_c04.avi,33.68664927757152,0.8894911131056229
v_PlayingSitar_g21_c03.avi,36.038739952874,0.9350150812689851
v_FloorGymnastics_g11_c04.avi,37.64868388926431,0.9412503851711421
v_ApplyLipstick_g21_c03.avi,36.71104753452574,0.9456844263143472
v_Typing_g18_c02.avi,35.81595126852591,0.9126503941465597
v_Biking_g14_c04.avi,36.42722174437913,0.9231739731351282
v_BalanceBeam_g18_c03.avi,34.15181259496022,0.9077551196951893
v_TaiChi_g22_c04.avi,33.175874471122384,0.8686689152274021
v_ApplyEyeMakeup_g15_c06.avi,37.183769100483566,0.9591290282113903
v_RopeClimbing_g17_c04.avi,35.12964086821941,0.9153246968677363
v_CricketShot_g20_c06.avi,32.178018162634224,0.8249251588007037
v_HulaHoop_g20_c01.avi,36.51423470375351,0.9398353082118648
v_CricketBowling_g11_c02.avi,35.12259619933985,0.8837258697866084
v_PlayingDhol_g18_c06.avi,32.67224543947672,0.8636070090916849
v_Skiing_g02_c02.avi,35.3808773917104,0.9177863556559723
v_BasketballDunk_g05_c02.avi,31.163306030945126,0.7786793038249016
v_FrontCrawl_g06_c02.avi,33.71687806401857,0.8761221258728592
v_Kayaking_g11_c02.avi,33.52003144635049,0.8639719391925426
v_Mixing_g20_c01.avi,32.33448442744188,0.85483385125796
v_Skijet_g09_c03.avi,33.0042749727655,0.8342712737569873
v_Shotput_g06_c01.avi,33.23059619591419,0.872898804669333
v_RockClimbingIndoor_g24_c07.avi,36.95033276811416,0.9432048695544674
v_PlayingViolin_g09_c01.avi,34.54699434041584,0.9237493139856002
v_HammerThrow_g22_c05.avi,32.851541224827756,0.8878684724444774
v_PlayingDhol_g16_c05.avi,33.768053657358244,0.9170080722818053
v_Punch_g06_c02.avi,31.620689143367994,0.8625989449024201
